regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;obitosAcumulado
Brasil;;;76;;;;2020-05-23;21;210147125;347398;22013
Norte;RO;;11;;;;2020-05-23;21;1777225;3109;115
Norte;AC;;12;;;;2020-05-23;21;881935;3867;87
Norte;AM;;13;;;;2020-05-23;21;4144597;28802;1744
Norte;RR;;14;;;;2020-05-23;21;605761;2374;81
Norte;PA;;15;;;;2020-05-23;21;8602865;22697;2001
Norte;AP;;16;;;;2020-05-23;21;845731;6091;162
Norte;TO;;17;;;;2020-05-23;21;1572866;2430;51
Nordeste;MA;;21;;;;2020-05-23;21;7075181;18767;722
Nordeste;PI;;22;;;;2020-05-23;21;3273227;3258;99
Nordeste;CE;;23;;;;2020-05-23;21;9132078;35122;2308
Nordeste;RN;;24;;;;2020-05-23;21;3506853;4599;184
Nordeste;PB;;25;;;;2020-05-23;21;4018127;7508;258
Nordeste;PE;;26;;;;2020-05-23;21;9557071;26786;2144
Nordeste;AL;;27;;;;2020-05-23;21;3337357;5630;301
Nordeste;SE;;28;;;;2020-05-23;21;2298696;5131;86
Nordeste;BA;;29;;;;2020-05-23;21;14873064;13000;413
Sudeste;MG;;31;;;;2020-05-23;21;21168791;6338;217
Sudeste;ES;;32;;;;2020-05-23;21;4018650;9918;417
Sudeste;RJ;;33;;;;2020-05-23;21;17264943;34533;3905
Sudeste;SP;;35;;;;2020-05-23;21;45919049;80558;6045
Sul;PR;;41;;;;2020-05-23;21;11433957;3099;150
Sul;SC;;42;;;;2020-05-23;21;7164788;6607;103
Sul;RS;;43;;;;2020-05-23;21;11377239;6336;176
Centro-Oeste;MS;;50;;;;2020-05-23;21;2778986;858;17
Centro-Oeste;MT;;51;;;;2020-05-23;21;3484466;1352;37
Centro-Oeste;GO;;52;;;;2020-05-23;21;7018354;2377;95
Centro-Oeste;DF;;53;;;;2020-05-23;21;3015268;6251;95
