regiao;estado;casosAcumulado;obitosAcumulado;;;;
Brasil;;347398;22013;;;;
Norte;RO;3109;115;;;;
Norte;AC;3867;87;;;;
Norte;AM;28802;1744;;;;
Norte;RR;2374;81;;;;
Norte;PA;22697;2001;;;;
Norte;AP;6091;162;;;;
Norte;TO;2430;51;;;;
Nordeste;MA;18767;722;;;;
Nordeste;PI;3258;99;;;;
Nordeste;CE;35122;2308;;;;
Nordeste;RN;4599;184;;;;
Nordeste;PB;7508;258;;;;
Nordeste;PE;26786;2144;;;;
Nordeste;AL;5630;301;;;;
Nordeste;SE;5131;86;;;;
Nordeste;BA;13000;413;;;;
Sudeste;MG;6338;217;;;;
Sudeste;ES;9918;417;;;;
Sudeste;RJ;34533;3905;;;;
Sudeste;SP;80558;6045;;;;
Sul;PR;3099;150;;;;
Sul;SC;6607;103;;;;
Sul;RS;6336;176;;;;
Centro-Oeste;MS;858;17;;;;
Centro-Oeste;MT;1352;37;;;;
Centro-Oeste;GO;2377;95;;;;
Centro-Oeste;DF;6251;95;;;;
